X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.28200009876441,52.0016752157195,15667,,ZELHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.26442738594722,52.0057628150771,15668,,ZELHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.20151028949434,52.1594488588757,15669,,SONTSTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.31342298790637,52.0738416352641,15670,,VORDENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.21648726334533,52.1506195198767,15671,,,,Watergeven 2026,,niet verwerkt,,,0
6.0615630199803,52.1958526995462,15672,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12305339919955,52.2142296799483,15673,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12351205694155,52.2143184244544,15674,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12340745078986,52.2142987034683,15675,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12334576243562,52.2142839167493,15676,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12360056983912,52.2143282849441,15677,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12371058511234,52.214348005917,15678,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.12388245691467,52.2143793202148,15679,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.25314856962854,52.1254650627387,15680,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.22762910999714,51.9956190980324,15681,,N317,,Watergeven 2026,,niet verwerkt,,,0
6.24473738190621,52.0044149671844,15682,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.29633580459026,52.0037598292646,15683,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.25005920273294,52.0060681747134,15684,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.29793718583142,52.0037530397452,15685,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.29828763379498,52.0037605076406,15686,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.25079565329353,52.0063028466248,15687,,N330,,Watergeven 2026,,niet verwerkt,,,0
6.33738120977506,52.1771081532524,15688,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.33746240007898,52.177161753476,15689,,ZUTPHENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
